선거종류,직책,이름,정당,지역,공약구분,선거명,공약명,상태,근거링크,마지막확인일,메모
국회의원선거,국회의원,홍길동,예시당,서울 강남구갑,지난공약,제22대 국회의원선거,청년 주거 지원 확대,완료,https://example.com/promise-1,2026-05-19,예산 반영 확인
국회의원선거,국회의원,홍길동,예시당,서울 강남구갑,지난공약,제22대 국회의원선거,전통시장 주차 환경 개선,진행 중,https://example.com/promise-2,2026-05-19,사업 추진 중
국회의원선거,국회의원,홍길동,예시당,서울 강남구갑,이번공약,다음 국회의원선거,지역 청년 창업센터 확대,확인 필요,https://example.com/promise-5,2026-05-19,이번 공약 등록
국회의원선거,국회의원,홍길동,예시당,서울 강남구갑,이번공약,다음 국회의원선거,골목상권 회복 지원,확인 필요,https://example.com/promise-6,2026-05-19,이번 공약 등록
국회의원선거,국회의원,김예시,샘플당,부산 해운대구을,지난공약,제22대 국회의원선거,노후 학교 시설 개선,완료,https://example.com/promise-3,2026-05-19,교육청 발표 자료 확인
국회의원선거,국회의원,김예시,샘플당,부산 해운대구을,지난공약,제22대 국회의원선거,지역 의료 접근성 확대,미이행,https://example.com/promise-4,2026-05-19,관련 예산 또는 법안 근거 없음
국회의원선거,국회의원,김예시,샘플당,부산 해운대구을,이번공약,다음 국회의원선거,해양 관광 일자리 확대,확인 필요,https://example.com/promise-7,2026-05-19,이번 공약 등록
지방선거,시장,박샘플,예시당,서울특별시,지난공약,제8회 전국동시지방선거,대중교통 요금 부담 완화,진행 중,https://example.com/local-1,2026-05-19,추진 중
지방선거,시장,박샘플,예시당,서울특별시,지난공약,제8회 전국동시지방선거,생활권 공원 확대,완료,https://example.com/local-2,2026-05-19,공원 조성 완료 발표 확인
지방선거,시장,박샘플,예시당,서울특별시,이번공약,제9회 전국동시지방선거,청년 월세 부담 완화,확인 필요,https://example.com/local-3,2026-06-04,이번 공약 등록
